Price,Location,Mileage,Engine,Manufacturer,Year,Model,Fuel_Type
Negotiable,Mawathagama,"115,000",1500,Toyota,2013,Premio,Petrol
"Rs: 8,400,000",Kurunegala,0,660,Suzuki,2025,Spacia,Hybrid
"Rs: 5,550,000",Kandy,0,658,Suzuki,2014,Wagon R,Hybrid
Negotiable,Malabe,"85,000",660,Suzuki,2018,Wagon R,Hybrid
"Rs: 2,700,000",Kurunegala,0,0000,Suzuki,2007,Maruti,Petrol
"Rs: 3,600,000",Buttala,"116,000",796,Suzuki,2015,Alto,Petrol
"Rs: 6,750,000",Galle,"138,000",1500,Toyota,2012,Aqua,Petrol
"Rs: 4,700,000",Kurunegala,0,0000,Suzuki,2017,Wagon R,Petrol
"Rs: 5,650,000",Kalagedihena,"88,000",650,Daihatsu,2017,Mira,Petrol
Negotiable,Kalagedihena,0,1200,Nissan,2017,Dayz,Petrol
"Rs: 2,750,000",Dehiwala,"171,132",1599,Hyundai,2001,Matrix,Petrol
"Rs: 7,150,000",Kottawa,"6,600",660,Nissan,2024,Dayz,Petrol
Negotiable,Polonnaruwa,70,1500,Toyota,2004,Vios,Petrol
"Rs: 6,550,000",Galle,"139,000",1500,Toyota,2012,Aqua,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 2,250,000",Galewela,"130,000",1000,Suzuki,2004,Zen,Petrol
Negotiable,Polonnaruwa,65,1500,Honda,2005,Fit,Petrol
"Rs: 7,800,000",Ratnapura,"124,000",1500,Toyota,2015,Aqua,Hybrid
Negotiable,Kandy,"172,000",1500,Toyota,2007,Allion,Petrol
"Rs: 4,350,000",Piliyandala,"190,000",1490,Honda,2003,City,Petrol
"Rs: 3,950,000",Ganemulla,"145,000",1300,Nissan,2000,N 16,Petrol
"Rs: 10,250,000",Kurunegala,"137,000",1500,Toyota,2015,Axio,Petrol
"Rs: 7,300,000",Kottawa,"6,600",660,Daihatsu,2023,Cast,Petrol
"Rs: 4,850,000",Giriulla,"190,000",1490,Nissan,2003,FB 15,Petrol
"Rs: 8,500,000",Kandy,"128,000",1500,Toyota,2008,Premio,Petrol
"Rs: 2,850,000",Matale,"176,000",1000,Perodua,2007,Kelisa,Petrol
"Rs: 7,250,000",Matale,"160,000",1500,Toyota,2007,Axio,Petrol
"Rs: 10,800,000",Kalutara,"144,000",1800,Toyota,2014,Prius,Hybrid
Negotiable,Kalagedihena,0,1750,Toyota,2013,Prius,Hybrid
"Rs: 7,325,000",Kottawa,"6,600",660,Nissan,2024,Dayz,Petrol
Negotiable,Kalagedihena,0,1200,Renault,2016,KWID,Petrol
"Rs: 16,900,000",Pita Kotte,"160,000",2497,BMW,2010,5 Series,Petrol
Negotiable,Nittambuwa,0,1200,Toyota,2024,Corolla,Petrol
"Rs: 4,600,000",Panadura,"221,113",1290,Nissan,2003,ExSunny,Petrol
Negotiable,Kalagedihena,0,1200,Toyota,2017,Passo,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Dehiwala,"60,000",1500,Mercedes Benz,2019,C200,Petrol
Negotiable,Kalagedihena,0,1500,BMW,2007,3 Series,Petrol
"Rs: 11,750,000",Kohuwala,"121,000",1500,Toyota,2017,Axio,Hybrid
"Rs: 9,250,000",Kohuwala,0,658,Suzuki,2023,Spacia,Petrol
"Rs: 5,625,000",Colombo Fort (Colombo 01),"212,647",1490,Honda,2003,Civic,Petrol
"Rs: 2,880,000",Gampaha,"210,000",1500,Nissan,1999,Cefiro,Petrol
"Rs: 5,600,000",Homagama,"129,000",1000,Toyota,2017,Wigo,Petrol
"Rs: 8,100,000",Kalmunai,"56,000",1000,Toyota,2018,Vitz,Hybrid
"Rs: 3,775,000",Badulla,22,850,Suzuki,2015,Alto,Petrol
"Rs: 7,100,000",Batticaloa,"75,000",650,Suzuki,2018,Wagon R,Hybrid
"Rs: 3,600,000",Balana,"125,000",800,Suzuki,2015,Alto,Petrol
"Rs: 4,400,000",Horana,"154,000",1300,Suzuki,2003,Swift,Petrol
"Rs: 4,650,000",Kurunegala,"184,177",1498,Nissan,2001,Sunny,Petrol
"Rs: 3,595,000",Panadura,0,1000,Perodua,2007,Kenari,Petrol
Negotiable,Nittambuwa,0,658,Suzuki,2023,Alto,Petrol
"Rs: 5,250,000",Piliyandala,"81,000",1200,Suzuki,2018,SX,Petrol
"Rs: 6,500,000",Alawatugoda,"109,000",650,Suzuki,2017,Wagon R,Petrol
"Rs: 3,495,000",Panadura,0,1300,Micro,2014,Panda Cross,Petrol
"Rs: 2,895,000",Panadura,0,1000,Micro,2014,Panda,Petrol
Negotiable,Piliyandala,0,1500,Toyota,2010,Axio,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 7,500,000",Kurunegala,"2,500",690,Suzuki,2024,Wagon R,Hybrid
"Rs: 6,250,000",Kurunegala,"2,500",690,Daihatsu,2024,Mira,Hybrid
"Rs: 8,990,000",Kurunegala,"2,500",690,Toyota,2024,Custom,Hybrid
"Rs: 3,295,000",Panadura,0,1500,Micro,2012,MX7,Petrol
"Rs: 2,995,000",Panadura,0,1300,Micro,2013,Panda Cross,Petrol
"Rs: 6,300,000",Akurana,"88,000",650,Suzuki,2018,Wagon R,Petrol
"Rs: 2,495,000",Panadura,0,1300,Micro,2012,Panda,Petrol
"Rs: 855,000",Negombo,"88,422",1500,Nissan,1985,B11,Petrol
"Rs: 9,000,000",Kotte,"120,000",36,Mercedes Benz,2016,B Class,Electric
"Rs: 2,990,000",Moratuwa,"130,000",49,Mitsubishi,2013,i-MiEV,Electric
"Rs: 5,025,000",Badulla,"127,000",990,Toyota,2009,Passo,Petrol
Negotiable,Galle,"1,200,000",1000,Toyota,2013,Premio,Petrol
"Rs: 3,800,000",Batticaloa,"58,000",650,Suzuki,2015,Alto,Petrol
"Rs: 4,250,000",Batticaloa,"86,530",814,Hyundai,2016,Eon,Petrol
Negotiable,Kotahena (Colombo 13),"95,500",998,Hyundai,2016,Grand i10,Petrol
Negotiable,Dehiwala,0,1500,Mercedes Benz,2023,C200,Petrol
Negotiable,Kaduwela,"200,000",1496,Toyota,2012,Aqua,Petrol
"Rs: 6,400,000",Kottawa,"6,600",660,Daihatsu,2023,Mira,Petrol
"Rs: 8,900,000",Batticaloa,0,1000,Hyundai,2025,Eon,Petrol
"Rs: 7,300,000",Digana,0,650,Suzuki,2024,Wagon R,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Kaduwela,"105,000",660,Suzuki,2018,Wagon R,Hybrid
"Rs: 5,100,000",Kalmunai,"85,300",1000,Suzuki,2015,Celerio,Petrol
"Rs: 5,600,000",Kandy,"147,000",650,Suzuki,2017,Wagon R,Petrol
"Rs: 5,100,000",Ratnapura,"128,000",650,Mazda,2015,Flair,Petrol
Negotiable,Kalagedihena,"123,456",1234,Honda,2015,Fit,Hybrid
Negotiable,Anuradhapura,"159,131",1900,Nissan,1995,Primera,Petrol
Negotiable,Weligama,"123,456",800,Suzuki,2006,Maruti,Petrol
"Rs: 6,950,000",Kegalle,"89,000",660,Suzuki,2018,Wagon R,Hybrid
"Rs: 8,750,000",Kelaniya,0,650,Suzuki,2025,Wagon R,Hybrid
Negotiable,Gampaha,0,1200,Daihatsu,1999,Charade,Petrol
Negotiable,Ja-Ela,"885,000",1600,KIA,2002,Cerato,Petrol
"Rs: 6,600,000",Narahenpita (Colombo 05),"63,000",1000,Perodua,2018,Bezza,Petrol
"Rs: 4,350,000",Kegalle,"2,200,000",1000,Nissan,2003,FB 15,Diesel
Negotiable,Gampaha,0,0,Toyota,2009,Corolla,Diesel
"Rs: 3,750,000",Wattala,"131,500",800,Suzuki,2015,Alto,Petrol
Negotiable,Hikkaduwa,"20,350",1500,Toyota,2004,Allion,Petrol
"Rs: 8,300,000",Kotahena (Colombo 13),"3,300",650,Suzuki,2024,Wagon R,Petrol
"Rs: 7,450,000",Piliyandala,"127,500",1500,Toyota,2014,Aqua,Petrol
Negotiable,Moratuwa,"127,000",1500,Honda,2014,Fit,Hybrid
"Rs: 11,450,000",Panadura,"97,000",1500,Toyota,2015,Premio,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 18,200,000",Delgoda,"150,000",1500,BMW,2018,X Series,Petrol
Negotiable,Kollupitiya (Colombo 03),"13,000",1000,Audi,2023,A3,Petrol
Negotiable,Kollupitiya (Colombo 03),"9,992",10000,Audi,2023,A3,Petrol
"Rs: 2,875,000",Delgoda,"55,000",1000,Micro,2015,Panda,Petrol
"Rs: 7,400,000",Pelmadulla,"80,460",1500,Toyota,2014,Aqua,Hybrid
"Rs: 2,990,000",Pelmadulla,"190,000",1970,Toyota,1996,Corolla,Diesel
Negotiable,Kirillawala,"175,000",1500,Toyota,2008,Axio,Petrol
Negotiable,Kirillawala,"169,000",1500,Toyota,2011,Axio,Petrol
"Rs: 4,000,000",Kirillawala,"68,500",800,Suzuki,2015,Alto,Petrol
"Rs: 6,850,000",Gampaha,"102,000",600,Suzuki,2017,Wagon R,Petrol
"Rs: 3,585,000",Anuradhapura,"179,000",800,Suzuki,2014,Alto,Petrol
