Price,Location,Mileage,Engine,Manufacturer,Year,Model,Fuel_Type
"Rs: 6,790,000",Nittambuwa,"112,000",1490,Toyota,2012,Aqua,Hybrid
"Rs: 8,390,000",Nittambuwa,0,650,Suzuki,2025,Wagon R,Hybrid
"Rs: 780,000",Matugama,"256,897",1300,Nissan,1983,B11,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 4,575,000",Kadawatha,"150,000",996,Suzuki,2016,Celerio,Petrol
"Rs: 7,900,000",Kelaniya,0,999,Suzuki,2024,Hustler,Petrol
"Rs: 7,850,000",Kotte,"76,000",1000,Toyota,2023,Yaris,Petrol
Negotiable,Negombo,"1,700",650,Suzuki,2024,Wagon R,Petrol
Negotiable,Panadura,"105,000",0,Suzuki,2017,Wagon R,Petrol
"Rs: 6,800,000",Panadura,"151,000",1500,Toyota,2003,Allion,Petrol
Negotiable,Nittambuwa,"5,000",650,Suzuki,2024,Hustler,Petrol
"Rs: 9,650,000",Ratmalana,"83,000",1240,Suzuki,2018,Swift,Hybrid
"Rs: 4,000,000",Kotikawatta,"139,896",1299,Nissan,2002,Sunny,Petrol
Negotiable,Boralesgamuwa,"120,000",1500,Toyota,2016,Axio,Hybrid
"Rs: 1,275,000",Pilimatalawa,0,1300,Peugeot,1999,306,Petrol
"Rs: 7,500,000",Negombo,"1,700",650,Suzuki,2024,Wagon R,Petrol
"Rs: 7,500,000",Negombo,"1,700",650,Suzuki,2024,Wagon R,Petrol
"Rs: 7,500,000",Negombo,650,650,Suzuki,2024,Wagon R,Petrol
"Rs: 6,500,000",Rajagiriya,"200,000",1600,Toyota,2007,Corolla,Petrol
Negotiable,Wennappuwa,0,990,Honda,2011,Fit,Petrol
"Rs: 12,000,000",Ja-Ela,"105,000",1000,Honda,2018,Civic,Petrol
"Rs: 7,450,000",Gampaha,"11,895",650,Suzuki,2023,Wagon R,Petrol
Negotiable,Wennappuwa,0,990,Honda,2015,Fit,Petrol
Negotiable,Wennappuwa,0,990,Honda,2012,Fit,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Kandy,0,990,Toyota,2013,Vitz,Petrol
Negotiable,Kalutara,0,1790,Toyota,2011,Prius,Petrol
"Rs: 11,200,000",Alutgama,"95,000",1000,Honda,2018,Civic,Petrol
"Rs: 9,400,000",Kelaniya,0,999,Toyota,2024,Yaris,Petrol
"Rs: 10,700,000",Kelaniya,0,999,Toyota,2024,Yaris,Petrol
"Rs: 6,200,000",Ja-Ela,"231,000",1500,Toyota,2003,Corolla,Petrol
Negotiable,Slave Island (Colombo 02),"133,000",1500,Toyota,2016,Axio,Petrol
"Rs: 2,250,000",Narahenpita (Colombo 05),"155,000",1500,KIA,2001,Rio,Petrol
Negotiable,Kohuwala,"100,000",1200,Toyota,2017,Premio,Petrol
Negotiable,Kohuwala,"55,000",1500,Toyota,2007,Allion,Petrol
"Rs: 6,375,000",Katunayake,"90,000",650,Suzuki,2018,Wagon R,Petrol
Negotiable,Kohuwala,"85,000",1500,Honda,2013,Fit,Petrol
Negotiable,Kelaniya,0,999,Toyota,2024,Yaris,Petrol
"Rs: 2,085,000",Nugegoda,"120,000",800,Suzuki,2006,Maruti,Petrol
"Rs: 8,650,000",Sainthamaruthu,"81,700",1000,Toyota,2019,Vitz,Petrol
"Rs: 5,375,000",Matara,"80,000",650,Suzuki,2015,Wagon R,Petrol
"Rs: 5,500,000",Maharagama,"132,500",1300,Suzuki,2009,Swift,Petrol
"Rs: 6,500,000",Rajagiriya,"200,000",1600,Toyota,2007,Corolla,Petrol
Negotiable,Kandy,0,1490,Toyota,1997,Carina,Petrol
"Rs: 7,350,000",Kandy,"110,000",1600,Toyota,2008,Corolla,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 7,700,000",Mawanella,"21,500",1000,Toyota,2016,Vitz,Petrol
"Rs: 7,290,000",Ambalangoda,"8,000",650,Suzuki,2024,Wagon R,Petrol
"Rs: 6,850,000",Embilipitiya,"104,045",1333,Honda,2009,Insight,Hybrid
"Rs: 18,300,000",Ratmalana,"120,000",2143,Mercedes Benz,2015,E Class,Diesel
"Rs: 8,050,000",Homagama,0,660,Daihatsu,2024,Taft,Petrol
Negotiable,Bambalapitiya (Colombo 04),0,650,Suzuki,2014,Wagon R,Petrol
"Rs: 3,290,000",Panadura,"53,000",1200,Geely,2013,Panda,Petrol
"Rs: 9,100,000",Dehiwala,0,1200,Nissan,2024,Roox,Petrol
"Rs: 6,200,000",Nittambuwa,"1,200",650,Suzuki,2024,Alto,Hybrid
"Rs: 3,500,000",Batticaloa,"68,000",800,Suzuki,2015,Alto,Petrol
"Rs: 6,200,000",Nittambuwa,"1,200",650,Suzuki,2024,Alto,Hybrid
Negotiable,Negombo,"130,000",1500,Toyota,2014,Axio,Petrol
Negotiable,Kollupitiya (Colombo 03),"1,000",1790,Toyota,2013,Prius,Petrol
"Rs: 2,300,000",Embilipitiya,"182,000",1970,Toyota,1994,Corolla,Diesel
"Rs: 7,250,000",Anuradhapura,"220,000",1500,Toyota,2007,Axio,Petrol
"Rs: 3,450,000",Nuwara Eliya,"97,000",1295,Toyota,2000,Corolla,Petrol
Negotiable,Anuradhapura,"1,200,000",1000,Toyota,2007,Allion,Petrol
Negotiable,Eheliyagoda,"86,014",1500,Toyota,2018,Aqua,Petrol
Negotiable,Negombo,"11,500",1000,Audi,2023,A3,Petrol
Negotiable,Colombo Fort (Colombo 01),"33,000",1000,Toyota,2024,Yaris,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Puttalam,"180,000",1300,Toyota,2009,Vitz,Petrol
"Rs: 5,000,000",Boralesgamuwa,"181,000",1500,Nissan,2008,Tiida,Petrol
"Rs: 3,800,000",Ja-Ela,"89,000",800,Renault,2018,KWID,Petrol
"Rs: 7,700,000",Kalutara,"76,000",1000,Suzuki,2017,Swift,Petrol
"Rs: 6,275,000",Kadawatha,"125,000",1500,Toyota,2004,Corolla,Petrol
Negotiable,Kurunegala,"135,600",990,Toyota,2008,Vitz,Petrol
"Rs: 6,375,000",Madurankuliya,"115,000",650,Suzuki,2018,Wagon R,Petrol
Negotiable,Wariyapola,0,1000,Toyota,2007,Premio,Petrol
Negotiable,Negombo,"71,000",1500,Audi,2017,A3,Petrol
Negotiable,Wariyapola,0,800,Daihatsu,2025,Taft,Petrol
Negotiable,Wariyapola,0,1000,BMW,2016,X Series,Petrol
"Rs: 6,290,000",Kohuwala,"42,000",1000,Toyota,2017,Wigo,Petrol
"Rs: 3,600,000",Ambalangoda,"60,231",1000,Suzuki,2011,Alto,Petrol
Negotiable,Wariyapola,0,1000,Audi,2017,A1,Petrol
Negotiable,Wariyapola,0,800,Suzuki,2018,Wagon R,Petrol
"Rs: 3,775,000",Kadawatha,"50,000",800,Suzuki,2015,Alto,Petrol
"Rs: 4,200,000",Borella (Colombo 08),"143,000",1200,Suzuki,2011,Swift,Petrol
Negotiable,Polonnaruwa,"82,400",800,Suzuki,2007,Maruti,Petrol
Negotiable,Wariyapola,0,1000,Honda,2019,Civic,Petrol
Negotiable,Gampaha,"68,000",1000,Toyota,2017,Vitz,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 9,900,000",Mount Lavinia,"186,000",1500,Toyota,2015,Axio,Hybrid
Negotiable,Mount Lavinia,"162,000",1490,Toyota,2013,Premio,Petrol
"Rs: 6,650,000",Kandy,"88,000",650,Suzuki,2018,Wagon R,Petrol
"Rs: 8,975,000",Moratuwa,123,123,Honda,2015,Fit,Hybrid
Negotiable,Dehiwala,"180,000",1800,Toyota,2013,Prius,Hybrid
Negotiable,Negombo,"81,000",1500,Toyota,2016,Premio,Petrol
"Rs: 4,500,000",Ganemulla,"125,250",1300,Suzuki,2003,Swift,Petrol
"Rs: 2,150,000",Homagama,"92,000",800,Suzuki,2007,Maruti,Petrol
"Rs: 4,625,000",Nugegoda,"73,428",998,Suzuki,2015,Celerio,Petrol
Negotiable,Pasyala,"3,000",650,Suzuki,2024,Alto,Petrol
Negotiable,Polonnaruwa,"67,000",800,Suzuki,2011,Maruti,Petrol
"Rs: 22,500,000",Wellampitiya,"38,000",2000,Mercedes Benz,2019,C200,Petrol
"Rs: 6,700,000",Gampaha,"177,000",1600,Toyota,2008,Corolla,Petrol
"Rs: 8,900,000",Gampaha,"182,000",1490,Toyota,2012,Allion,Petrol
"Rs: 5,500,000",Negombo,"142,000",2000,Subaru,1994,Legacy,Petrol
"Rs: 8,200,000",Pasyala,"1,500",650,Nissan,2023,Dayz,Petrol
Negotiable,Pasyala,"9,000",650,Suzuki,2023,Alto,Hybrid
"Rs: 18,000,000",Dehiwala,"150,000",3500,Mercedes Benz,2005,S Class,Petrol
"Rs: 3,900,000",Nugegoda,"72,000",800,Suzuki,2015,Alto,Petrol
"Rs: 2,675,000",Horana,"170,000",1000,Nissan,1995,March,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 7,400,000",Athurugiriya,"180,000",1200,Toyota,2013,Aqua,Petrol
"Rs: 7,800,000",Kadawatha,"143,000",1000,Honda,2015,Fit,Petrol
"Rs: 6,900,000",Yakkala,"108,000",1000,Toyota,2012,Aqua,Hybrid
Negotiable,Anuradhapura,0,1490,Toyota,2024,Yaris,Petrol
"Rs: 5,995,000",Gampaha,"78,000",658,Daihatsu,2016,Move,Petrol
"Rs: 4,475,000",Kadawatha,"1,000",1000,Suzuki,2014,Celerio,Petrol
"Rs: 3,800,000",Elpitiya,"150,000",1500,Nissan,2000,FB 15,Petrol
"Rs: 8,675,000",Kelaniya,"146,038",1490,Toyota,2007,Premio,Petrol
Negotiable,Kohuwala,"79,000",1500,Honda,2018,Civic,Petrol
"Rs: 3,625,000",Uswetakeiyawa,"123,400",998,Suzuki,2011,A Star,Petrol
Negotiable,Kotte,"74,000",1500,Toyota,2023,Yaris,Petrol
"Rs: 8,350,000",Kollupitiya (Colombo 03),"155,000",1300,Toyota,2010,Allion,Petrol
"Rs: 8,900,000",Kohuwala,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Akarawita,0,1500,Mercedes Benz,2025,C200,Petrol
Negotiable,Wellawatta (Colombo 06),0,660,Suzuki,2025,Spacia,Petrol
Negotiable,Kohuwala,"80,000",650,Suzuki,2018,Wagon R,Petrol
Negotiable,Wellawatta (Colombo 06),0,660,Suzuki,2024,Spacia,Petrol
Negotiable,Dehiwala,0,1790,Toyota,2011,Prius,Petrol
"Rs: 12,000,000",Attanagalla,"116,500",1490,Toyota,2018,Axio,Hybrid
Negotiable,Dedigamuwa,0,1490,Nissan,2025,Roox,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Panadura,"118,000",1500,Toyota,2015,Axio,Petrol
Negotiable,Pilimatalawa,0,800,Suzuki,2010,Maruti,Petrol
"Rs: 1,300,000",Pilimatalawa,0,990,Daihatsu,1987,Charade,Petrol
"Rs: 9,800,000",Kelaniya,"8,500",1000,Toyota,2023,Yaris,Petrol
"Rs: 10,200,000",Kelaniya,0,1000,Toyota,2025,Yaris,Petrol
"Rs: 2,095,000",Pilimatalawa,0,800,Suzuki,2006,Maruti,Petrol
"Rs: 10,000,000",Kelaniya,0,1000,Toyota,2025,Yaris,Petrol
Negotiable,Kelaniya,0,1000,Toyota,2025,Yaris,Petrol
"Rs: 9,800,000",Kelaniya,"4,500",1000,Toyota,2024,Yaris,Petrol
"Rs: 9,700,000",Kelaniya,"6,500",1000,Toyota,2023,Yaris,Petrol
Negotiable,Kelaniya,"2,600",1000,Toyota,2024,Yaris,Petrol
"Rs: 3,975,000",Thalapathpitiya,"1,500",1490,Nissan,2001,Sunny,Petrol
"Rs: 10,200,000",Slave Island (Colombo 02),"180,000",1469,Toyota,2017,Axio,Petrol
"Rs: 16,100,000",Dehiwala,"63,000",1500,Toyota,2018,Premio,Petrol
"Rs: 675,000",Pilimatalawa,0,1400,Mitsubishi,1987,Lancer,Petrol
"Rs: 7,300,000",Narammala,0,650,Suzuki,2024,Wagon R,Petrol
"Rs: 2,550,000",Maradana (Colombo 10),"120,500",1300,Micro,2012,Panda,Petrol
Negotiable,Chilaw,"145,000",1490,Honda,2014,Grace,Hybrid
Negotiable,Kelaniya,"4,500",650,Suzuki,2024,Hustler,Petrol
Negotiable,Kelaniya,0,650,Suzuki,2025,Hustler,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Kelaniya,0,650,Suzuki,2025,Hustler,Petrol
Negotiable,Kelaniya,"1,800",650,Suzuki,2024,Hustler,Petrol
"Rs: 7,550,000",Nittambuwa,"152,000",1500,Toyota,2013,Aqua,Hybrid
"Rs: 3,200,000",Eppawala,"97,291",800,Suzuki,2012,Alto,Petrol
"Rs: 2,500,000",Pilimatalawa,0,1200,Toyota,1996,Corolla,Diesel
"Rs: 8,500,000",Wellampitiya,"2,400",660,Suzuki,2025,Wagon R,Hybrid
Negotiable,Kurunegala,"50,000",1496,Audi,2015,A4,Petrol
Negotiable,Kekirawa,"67,000",1496,Mercedes Benz,2016,CLA,Hybrid
"Rs: 7,950,000",Maspotha,0,1000,Toyota,2025,Passo,Petrol
"Rs: 4,300,000",Moratuwa,"165,000",1300,Suzuki,2004,Swift,Petrol
"Rs: 7,450,000",Welimada,22,650,Suzuki,2018,Wagon R,Hybrid
Negotiable,Wennappuwa,"139,867",1300,Nissan,2002,March,Petrol
Negotiable,Galle,0,1500,Toyota,2019,Vitz,Petrol
"Rs: 8,750,000",Nugegoda,"200,000",1800,Toyota,2012,Prius,Hybrid
"Rs: 4,300,000",Moratuwa,"165,000",1300,Suzuki,2004,Swift,Petrol
Negotiable,Alutgama,0,1500,Honda,2015,Fit,Petrol
"Rs: 3,700,000",Beruwala,"138,000",800,Suzuki,2016,Alto,Petrol
"Rs: 3,800,000",Kalmunai,"98,000",800,Suzuki,2015,Alto,Petrol
"Rs: 8,900,000",Kelaniya,0,660,Suzuki,2025,Wagon R,Hybrid
"Rs: 9,000,000",Kottawa,"81,000",1500,Toyota,2012,Axio,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 2,375,000",Kandy,0,800,Suzuki,2011,Maruti,Petrol
"Rs: 4,500,000",Kandy,0,1000,Perodua,2013,Viva,Petrol
"Rs: 2,275,000",Kandy,0,800,Suzuki,2011,Maruti,Petrol
"Rs: 3,390,000",Mirigama,"142,560",1500,Suzuki,2013,Alto,Petrol
"Rs: 3,695,000",Kottawa,"104,255",800,Suzuki,2015,Alto,Petrol
"Rs: 6,800,000",Kandy,0,650,Daihatsu,2016,Cast,Petrol
"Rs: 7,950,000",Kandy,"58,000",996,Toyota,2018,Vitz,Petrol
"Rs: 6,050,000",Dehiwala,"145,000",1000,Toyota,2015,Passo,Petrol
"Rs: 14,000,000",Hokandara,"138,000",1800,Toyota,2016,Prius,Petrol
Negotiable,Saliyapura,"100,000",660,Suzuki,2015,Wagon R,Petrol
Negotiable,Wariyapola,0,1000,Suzuki,2025,Wagon R,Petrol
Negotiable,Maradana (Colombo 10),0,650,Suzuki,2017,Wagon R,Petrol
Negotiable,Saliyapura,"88,000",1490,Honda,2015,Grace,Petrol
"Rs: 5,270,000",Pepiliyana,"224,000",1490,Toyota,2004,Vios,Petrol
Negotiable,Saliyapura,"66,000",660,Suzuki,2017,Wagon R,Petrol
"Rs: 6,540,000",Anuradhapura,525,660,Daihatsu,2025,Mira,Petrol
Negotiable,Delgoda,0,990,Suzuki,2013,Alto,Petrol
Negotiable,Saliyapura,"11,000",660,Suzuki,2024,Wagon R,Petrol
"Rs: 1,460,000",Moratuwa,"253,000",2000,Mitsubishi,1992,Lancer,Diesel
"Rs: 8,700,000",Kegalle,0,1490,Honda,2015,Grace,Hybrid
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 12,500,000",Boralesgamuwa,"125,000",1500,Toyota,2018,Axio,Hybrid
Negotiable,Kegalle,"12,345",1234,Toyota,2002,Corolla,Petrol
"Rs: 4,150,000",Kotahena (Colombo 13),"122,000",1000,Suzuki,2015,Alto,Petrol
Negotiable,Kegalle,"12,345",1000,Toyota,2007,Corolla,Petrol
"Rs: 7,250,000",Kegalle,"88,000",1500,Toyota,2013,Aqua,Petrol
"Rs: 6,200,000",Akurana,"240,300",1200,Honda,2006,Airwave,Petrol
"Rs: 4,700,000",Kuliyapitiya,0,1300,Suzuki,2008,Swift,Petrol
Negotiable,Gothatuwa,"81,000",1500,Toyota,2016,Axio,Hybrid
Negotiable,Gampaha,"199,000",1500,Honda,2016,Grace,Hybrid
"Rs: 3,750,000",Vavuniya,"85,000",800,Suzuki,2015,Alto,Petrol
"Rs: 5,750,000",Piliyandala,"137,000",998,Perodua,2017,Axia,Petrol
Negotiable,Pannipitiya,"180,000",1500,Toyota,2017,Axio,Hybrid
"Rs: 6,750,000",Hokandara,"210,000",1500,Toyota,2008,Prius,Hybrid
"Rs: 5,875,000",Malabe,"119,000",650,Suzuki,2017,Wagon R,Hybrid
Negotiable,Wattala,"100,000",650,Suzuki,2016,Hustler,Hybrid
"Rs: 8,390,000",Malabe,"115,000",1500,Toyota,2015,Aqua,Hybrid
Negotiable,Kottawa,0,2000,BMW,2018,3 Series,Hybrid
"Rs: 7,850,000",Dehiwala,"78,000",1000,Suzuki,2017,Swift,Petrol
Negotiable,Kottawa,"123,456",1000,Nissan,2001,AD Wagon,Petrol
"Rs: 4,000,000",Dehiwala,"170,000",1300,Suzuki,2006,Swift,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 12,500,000",Padukka,"26,700",1000,Honda,2017,Civic,Petrol
"Rs: 5,750,000",Piliyandala,"163,000",1500,Toyota,2006,Corolla,Petrol
Negotiable,Kottawa,"123,456",1000,Nissan,2002,March,Petrol
"Rs: 5,650,000",Negombo,"142,000",1000,Toyota,2009,Vitz,Petrol
Negotiable,Kotte,"74,000",1000,Toyota,2023,Yaris,Petrol
"Rs: 12,300,000",Kohuwala,0,1500,Suzuki,2024,Swift,Petrol
"Rs: 6,795,000",Kohuwala,"74,000",1000,Suzuki,2018,Wagon R,Petrol
"Rs: 9,400,000",Kohuwala,0,650,Suzuki,2024,Spacia,Petrol
"Rs: 3,850,000",Ratmalana,"175,000",998,Suzuki,2010,Estilo,Petrol
"Rs: 5,450,000",Kandy,"181,000",1500,Toyota,2005,Vios,Petrol
Negotiable,Negombo,"120,000",1580,Toyota,2008,Axio,Petrol
"Rs: 3,550,000",Batticaloa,"117,000",800,Suzuki,2015,Alto,Petrol
Negotiable,Negombo,"37,000",1500,Toyota,2018,Premio,Petrol
"Rs: 3,350,000",Hanwella,"245,588",1330,Toyota,1993,Starlet,Petrol
"Rs: 4,500,000",Batticaloa,"24,500",814,Hyundai,2016,Eon,Petrol
Negotiable,Anuradhapura,"169,000",1490,Mercedes Benz,2017,CLA,Petrol
"Rs: 5,200,000",Makandura,"102,500",1000,Suzuki,2015,Celerio,Petrol
"Rs: 7,150,000",Kuliyapitiya,"77,000",1000,Toyota,2016,Vitz,Petrol
Negotiable,Narahenpita (Colombo 05),"160,000",1500,Nissan,1987,Sunny,Petrol
"Rs: 5,150,000",Borella (Colombo 08),"188,000",1000,Toyota,2007,Vitz,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 4,850,000",Narahenpita (Colombo 05),"170,000",1300,Toyota,2002,Corolla,Petrol
"Rs: 7,125,000",Kiribathgoda,"6,900",660,Nissan,2023,Dayz,Petrol
Negotiable,Kurunegala,0,1200,Hyundai,2025,Grand i10,Petrol
Negotiable,Seeduwa,0,1500,Toyota,2013,Axio,Petrol
Negotiable,Kottawa,0,990,Toyota,2012,Aqua,Petrol
Negotiable,Divulapitiya,0,1330,Honda,2014,Fit,Petrol
Negotiable,Gampaha,0,650,Suzuki,2018,Wagon R,Petrol
"Rs: 5,825,000",Kadawatha,"48,000",1000,Suzuki,2018,Celerio,Petrol
"Rs: 4,975,000",Kadawatha,"96,000",1000,Suzuki,2016,Celerio,Petrol
Negotiable,Kohuwala,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Mount Lavinia,0,1000,Audi,2023,A3,Petrol
"Rs: 5,790,000",Kadawatha,"78,000",1000,Suzuki,2019,Celerio,Petrol
"Rs: 7,250,000",Rambukkana,"3,180",660,Suzuki,2023,Wagon R,Petrol
Negotiable,Kirillawala,"188,000",1496,Toyota,2008,Axio,Petrol
"Rs: 5,650,000",Kirillawala,"110,000",660,Suzuki,2017,Wagon R,Petrol
Negotiable,Bandaragama,"65,000",800,Zotye,2017,Z100,Petrol
Negotiable,Bandaragama,"98,000",1500,Micro,2013,MX7,Petrol
"Rs: 7,400,000",Dehiwala,"5,000",660,Suzuki,2024,Wagon R,Petrol
Negotiable,Pepiliyana,"116,000",1500,Toyota,2011,Allion,Petrol
"Rs: 5,075,000",Pepiliyana,"180,000",1000,Toyota,2007,Vitz,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Panadura,0,1490,Nissan,2000,AD Wagon,Petrol
"Rs: 5,500,000",Pepiliyana,"90,000",650,Daihatsu,2017,Move,Petrol
"Rs: 2,850,000",Pepiliyana,0,1300,Hyundai,2001,Accent,Petrol
"Rs: 4,675,000",Kirillawala,"146,000",996,Toyota,2007,Passo,Petrol
"Rs: 7,550,000",Kirillawala,"177,000",1496,Toyota,2010,Axio,Petrol
"Rs: 4,755,000",Panadura,0,998,Suzuki,2016,Wagon R,Petrol
Negotiable,Veyangoda,"130,000",1998,Nissan,1996,Bluebird,Petrol
Negotiable,Veyangoda,"120,000",1489,Mazda,1996,Familia,Petrol
Negotiable,Veyangoda,"130,000",1299,Mitsubishi,2000,Lancer,Petrol
Negotiable,Veyangoda,"14,500",1300,Mazda,1994,Familia,Petrol
Negotiable,Veyangoda,"130,000",1468,Mitsubishi,1992,Lancer,Petrol
Negotiable,Veyangoda,"110,000",1497,Nissan,1995,Lucino,Petrol
Negotiable,Kalutara,"170,000",1994,Volvo,1995,940,Diesel
Negotiable,Dehiwala,"230,000",1994,Toyota,2008,Corolla,Diesel
"Rs: 2,800,000",Akuressa,0,650,Suzuki,2011,Maruti,Petrol
"Rs: 4,800,000",Veyangoda,"120,000",1350,Mazda,1998,Familia,Petrol
"Rs: 6,000,000",Pita Kotte,"75,000",1000,Toyota,2008,Vitz,Petrol
Negotiable,Delgoda,"120,000",1500,Nissan,1999,FB 15,Petrol
"Rs: 3,700,000",Nugegoda,"180,000",1300,Suzuki,2000,Swift,Petrol
"Rs: 6,200,000",Madampe,"74,500",998,KIA,2017,Picanto,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 3,790,000",Athurugiriya,"97,942",800,Suzuki,2015,Alto,Petrol
"Rs: 6,800,000",Kadawatha,"130,000",990,Toyota,2017,Vitz,Petrol
"Rs: 850,000",Narammala,"20,000",1300,Nissan,1981,B310,Petrol
"Rs: 3,000,000",Kottawa,"145,000",990,Nissan,2001,March,Petrol
"Rs: 8,150,000",Gampaha,"110,000",1800,Toyota,2010,Prius,Hybrid
Negotiable,Gampaha,"180,000",2316,Volvo,1990,940,Petrol
"Rs: 5,500,000",Peradeniya,"120,000",1600,Honda,2008,Civic,Petrol
Negotiable,Gampaha,"140,000",1500,Mitsubishi,2002,Lancer,Petrol
Negotiable,Veyangoda,"180,000",2000,Nissan,1996,Bluebird,Petrol
Negotiable,Matara,"102,000",1496,Toyota,2014,Aqua,Petrol
Negotiable,Hantane,0,1000,Austin,1998,Cambridge,Petrol
"Rs: 690,000",Negombo,"100,000",1200,Volkswagen,1966,Beetle,Petrol
"Rs: 7,190,000",Colombo Fort (Colombo 01),"3,400",660,Suzuki,2024,Wagon R,Petrol
Negotiable,Colombo Fort (Colombo 01),"78,000",2000,BMW,2012,4 Series,Diesel
"Rs: 7,190,000",Colombo Fort (Colombo 01),"2,800",660,Nissan,2024,Dayz,Petrol
"Rs: 8,800,000",Nawala,"97,350",1500,Honda,2015,Grace,Hybrid
"Rs: 7,500,000",Biyagama,"211,000",1500,Toyota,2011,Prius,Petrol
"Rs: 12,450,000",Piliyandala,"190,000",1490,Toyota,2015,Premio,Petrol
"Rs: 3,100,000",Negombo,"170,000",1000,Suzuki,2012,Alto,Petrol
"Rs: 3,600,000",Gampaha,"125,000",800,Suzuki,2014,Alto,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 3,390,000",Colombo Fort (Colombo 01),"110,000",800,Suzuki,2014,Alto,Petrol
"Rs: 4,500,000",Battaramulla,"66,800",1000,Micro,2018,Panda Cross,Petrol
"Rs: 3,590,000",Anamaduwa,"92,000",800,Suzuki,2015,Alto,Petrol
